,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
30,"RT @pbhushan1: After Bar Assn of India &amp; SCBA, the Bombay bar on Arun Mishra: ""This Assn deprecates the conduct of a sitting judge of the S…",Stephen George,29326,68,,False,0,282,2020-03-05 16:07:51
31,"RT @hiambuj: If this is the situation of Yes Bank, how is the Bank principle sponsor of Global Business Summit, that starts tomorrow, with…",sameer shah,2506,118,New Delhi India,False,0,7,2020-03-05 16:07:49
32,"RT @GauravGogoiAsm: Suspend me, but please discuss Delhi riots tomorrow. Show your accountability towards the very people who voted for you…",deependra singh,23131,119,"Indore, India",False,0,1484,2020-03-05 16:07:49
33,"RT @GauravGogoiAsm: Suspend me, but please discuss Delhi riots tomorrow. Show your accountability towards the very people who voted for you…",alok kumar,10150,88,"Patna, India",False,0,1484,2020-03-05 16:07:48
34,RT @TonySahajlain: This video of #DelhiViolence exposes @CNN. Psuedo journalist @RanaAyyub with @FareedZakaria on #FakeNewsCNN accused PM M…,Manish Swami,4212,922,India,False,0,2307,2020-03-05 16:07:48
35,"RT @rightofcentre52: Modi govt should not only release but it should also make sure that NC and PDP form an alliance and win elections.
Mod…",Reetika Sharma,2343,88,"Jammu, Jammu And Kashmir",False,0,11,2020-03-05 16:07:45
36,"RT @balbirpunj: How Jehadies tasted blood :
Wanted Islamic state &amp; got one.

Didn’t like Shah Bano verdict, got it overturned.

Didn’t like…",Ajs,43006,44,,False,0,1823,2020-03-05 16:07:45
37,RT @Ashok33100053: #ग्रामीणडाकसेवक @IndiaPostOffice @IPPBOnline Rural postal employees condition is much worse here than non-muslim ppl liv…,Ashok,452,32,"Lucknow, India",False,0,26,2020-03-05 16:07:44
38,"RT @GauravGogoiAsm: Suspend me, but please discuss Delhi riots tomorrow. Show your accountability towards the very people who voted for you…",Praveen kumar,6928,125,"नई दिल्ली, भारत",False,0,1484,2020-03-05 16:09:10
39,RT @bainjal: I hope that the Modi government will now release three former CM’s @OmarAbdullah @MehboobaMufti &amp; Farooq Abdullah. They have b…,Dr.Sumaiya Muneer,3125,32,"Greater Noida, India",False,0,344,2020-03-05 16:09:10
40,"Rising hate &amp; intolerance in India against the minorities. 

Religious intolerance of other faiths in India is at its peak &amp; ⁦@realDonaldTrump⁩ is so clueless that he was recently praising Modi #ThursdayThoughts

Jesus statue &amp; 14 crosses demolished https://t.co/Yoq84u4dkn",Ali Mohammed,24542,197,USA,False,0,0,2020-03-05 16:09:09
41,"RT @GauravGogoiAsm: Suspend me, but please discuss Delhi riots tomorrow. Show your accountability towards the very people who voted for you…",Soum,428,7,,False,0,1484,2020-03-05 16:09:09
42,RT @bainjal: The suspension of seven congress MP’s from Parliament is just an extension of the Gujarat model which Modi followed as CM. Mod…,Being Human,320,8,,False,0,601,2020-03-05 16:09:09
43,"@khamenei_ir @Praecursator007 Modi is himself from an extremists group RSS lik of ISIS, RSS has sponsored all the riots and kiling of muslims throughout the history, now Modi from RSS is himself in power so it has became the real example of state backed violence. Modi is forcing Indian muslims into extremism",Wahidur Siddique,175,3,"England, United Kingdom",False,1,0,2020-03-05 16:09:08
44,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",Brijesh Kumar Rai,2225,37,,False,0,576,2020-03-05 16:09:03
45,"RT @GauravGogoiAsm: Suspend me, but please discuss Delhi riots tomorrow. Show your accountability towards the very people who voted for you…",Raza,2544,22,,False,0,1484,2020-03-05 16:09:03
46,RT @Voice_For_India: Heart-breaking what these LAIRS from UK are saying about Hindus. Saying Hindus are waging war on the Muslims &amp; being s…,Sunana Batra,15482,545,"Encinitas, California",False,0,3950,2020-03-05 16:09:03
47,RT @vasumunish: @narendramodi hope you have taken a note that pujaris or priests of Mandir are getting just Rs 500 pm where as believers ar…,Rajeev,158780,882,India,False,0,1,2020-03-05 16:09:02
48,"RT @INCIndia: Modi ji you may think silence is golden, but when our country is facing such dire issues, your silence is criminal. https://t…",Usman Malkani,649,1,"Mumbai, India",False,0,1526,2020-03-05 16:09:01
49,"RT @RealHistoryPic: ""Modinomics is now becoming Modi-Momentum"". (2015) https://t.co/ScZnTBVKwd",vikrant,53475,256,comfort zone,False,0,32,2020-03-05 16:09:01
50,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",dipesh bidiwala,6762,141,"Chigwell, East",False,0,576,2020-03-05 16:09:01
51,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",Keshav M Rao,68227,712,"Mangaluru, Bengaluru, India",False,0,576,2020-03-05 16:09:01
52,"RT @INCIndia: Modi ji you may think silence is golden, but when our country is facing such dire issues, your silence is criminal. https://t…",Gopal s,6036,32,,False,0,1526,2020-03-05 16:09:00
53,RT @bainjal: 53 people have died. Zero accountability from Shah. Zero outreach from Modi &amp; Shah.,الیاس خان,21023,105,Bangalore/Bengaluru,False,0,394,2020-03-05 16:09:00
54,RT @bainjal: 53 people have died. Zero accountability from Shah. Zero outreach from Modi &amp; Shah.,wahid khan,29845,67,"New Delhi, Bangalore India",False,0,394,2020-03-05 16:08:59
55,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",mukta,97613,435,,False,0,576,2020-03-05 16:08:59
56,"RT @INCIndia: Modi ji you may think silence is golden, but when our country is facing such dire issues, your silence is criminal. https://t…",Indian Gowda,5812,73,"Manhattan, NY",False,0,1526,2020-03-05 16:08:57
57,"RT @pbhushan1: After Bar Assn of India &amp; SCBA, the Bombay bar on Arun Mishra: ""This Assn deprecates the conduct of a sitting judge of the S…",Ansari Afzaal Ahmad,14301,116,,False,0,282,2020-03-05 16:08:54
58,RT @bainjal: The suspension of seven congress MP’s from Parliament is just an extension of the Gujarat model which Modi followed as CM. Mod…,Stephen George,29326,68,,False,0,601,2020-03-05 16:08:54
59,RT @ashoswai: UN High Commissioner for Human Rights move on Citizenship Amendment Act has rattled the Modi regime!  https://t.co/cdyBfCNZIy,Ayub Ansari,1496,29,San Fransisco,False,0,906,2020-03-05 16:08:52
60,"RT @t_d_h_nair: CAA is an internal matter. No foreign party has any locus standi — MEA

CAA files are related to policy on grant of citizen…",Sanjeev K Bhardwaj,3329,194,"New Delhi, India",False,0,820,2020-03-05 16:08:52
61,RT @YESBANK: .@RanaKapoor_ on #DeMonetisation: Modi delivers a master stroke. Read more: https://t.co/grVduPrJrP https://t.co/3Xd3y956iR,abm,2402,6,,False,0,154,2020-03-05 16:08:52
62,RT @RMCpost: If I switch on the fan.. even at 1.. it feels slightly chilly... If I switch it off.. It feels slightly warm.. Whats the use o…,Broad Wit🇮🇳,159834,1373,Cyberia,False,0,38,2020-03-05 16:08:51
63,RT @bainjal: The suspension of seven congress MP’s from Parliament is just an extension of the Gujarat model which Modi followed as CM. Mod…,RENNY JOSEPH,15707,63,,False,0,601,2020-03-05 16:08:50
64,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",Prashant Shukla,120,7,,False,0,576,2020-03-05 16:08:49
65,RT @bainjal: The suspension of seven congress MP’s from Parliament is just an extension of the Gujarat model which Modi followed as CM. Mod…,SARCASTICALLY CORRECT,12872,35,"Ujjain, India",False,0,601,2020-03-05 16:08:48
66,PM Modi’s visit to Brussels deferred as India-EU Summit rescheduled in view of Coronavirus outbreak https://t.co/hPFJHMBlad,apnnews,40346,435,India,False,0,0,2020-03-05 16:08:48
67,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",पंडित विक्रान्त शुक्ला भाजपा🇮🇳,26468,1593,भारत,False,0,576,2020-03-05 16:08:47
68,RT @cardiology08: Nations wants to know what MCI wants ? MCI against PM modi’s dream #AyushmanBharat #SavePGDCC Wake up MCI https://t.co/Uf…,Abhishek Pancholi,424,10,,False,0,40,2020-03-05 16:08:47
69,"RT @d4deelip1982: Ravish Kumar, who earns his bread and butter by abusing PM Modi and Hindus #RubbishKumar",vir,384,37,,False,0,2,2020-03-05 16:08:46
70,"RT @INCIndia: Modi ji you may think silence is golden, but when our country is facing such dire issues, your silence is criminal. https://t…",Anmol,244,93,,False,0,1526,2020-03-05 16:08:46
71,RT @RMCpost: If I switch on the fan.. even at 1.. it feels slightly chilly... If I switch it off.. It feels slightly warm.. Whats the use o…,gab.ai\Kramerkumar,18094,25,,False,0,38,2020-03-05 16:08:46
72,"RT @AWjamalfc: A Hindu priest exposed the murderer Modi and taught him a good lesson.
Watch this video 
#IndianMuslimsInDanger
#Voice_of_Mu…",Humaira Hussain,9246,754,,False,0,17,2020-03-05 16:08:44
73,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",Pradeep,53642,337,,False,0,576,2020-03-05 16:08:44
74,"RT @Aakar__Patel: Modi internationalised Kashmir with 370 move and internationalised India’s bigotry against its Muslims through CAA. 
Narr…",Hindustani,18374,44,,False,0,9,2020-03-05 16:08:43
75,"RT @IYC: Under Narendra Modi's government, India's international reputation has taken the worst hit. This is the proof. https://t.co/mjAffw…",Sanam Abbas,2175,15,,False,0,31,2020-03-05 16:08:42
76,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",dhananjay kumar ojha,1334,68,,False,0,576,2020-03-05 16:08:39
77,"RT @RealHistoryPic: ""Modinomics is now becoming Modi-Momentum"". (2015) https://t.co/ScZnTBVKwd",Aye Himanसू ®,25817,2835,Rajysabha TV,False,0,32,2020-03-05 16:08:39
78,"@intellectroll Wretchedly self centered &amp; selfish take. The ratio of Khamanei’s dead victims to Modi’s dead victims is 10,000 to 1.",Ali Husain,20858,205,,False,0,0,2020-03-05 16:08:38
79,RT @rahulpandita: Total failure of police leadership. If you cannot open fire when your DCP almost died and ACP’s helmet broke into two wit…,Rudra,27579,266,India,False,0,1310,2020-03-05 16:08:38
80,RT @steve_hanke: #Muslim neighborhoods in #Delhi have been razed to the ground. Who’s to blame? The usual suspects: #Modi’s #Hindutva mobs…,rully,5684,246,,False,0,689,2020-03-05 16:08:38
81,"RT @Aakar__Patel: Harsh Mander being summoned by CJI  tomorrow to justify why he has no faith in SC is a good thing. 
Hope he uses opportun…",Rahul Chandok,1182,39,Bombay,False,0,452,2020-03-05 16:08:37
82,"RT @SwamiGeetika: While Ravish Kumar tried Creating panic and stoking fire in the name of CAA NRC, it's PM Modi who himself exposed the hyp…",Jaswant Singh Inda🇮🇳,660,14,"Jodhpur, India",False,0,576,2020-03-05 16:08:37
83,"RT @balbirpunj: How Jehadies tasted blood :
Wanted Islamic state &amp; got one.

Didn’t like Shah Bano verdict, got it overturned.

Didn’t like…",Hareesh Kumar,4574,96,"Mumbai, India",False,0,1823,2020-03-05 16:08:34
84,What modi has done to him https://t.co/jBeMkwZQO2,Bhavesh,924,593,All across the globe ,False,1,0,2020-03-05 16:08:34
85,RT @rkhuria: #HarshMander What kind of System have Modi-Shah created that each CJI is more submissive than the previous. Mishra - Corruptio…,SHAHIN,23186,612,New Delhi ,False,0,22,2020-03-05 16:08:33
86,RT @Voice_For_India: Heart-breaking what these LAIRS from UK are saying about Hindus. Saying Hindus are waging war on the Muslims &amp; being s…,Rinku Rajput,10984,899,,False,0,3950,2020-03-05 16:08:33
87,RT @vikrameffects: This is vikas of Modi govt. Now all #YesBank customers are also  in trouble. Another #PMCBank in the making. Modi govt h…,Vinay Gupta,1775,206,india,False,0,1,2020-03-05 16:08:31
88,@ShekharGupta The matter is not whether Iran is a role model or not. The matter is to come out of denial and accept that Modi Government's approach is fundamentally flawed. Earlier you accept this fact the better it is. There is a real problem @ShekharGupta.,DR ABID HUSSAIN,4503,394,wherever there is injustice.,False,0,0,2020-03-05 16:08:29
89,RT @ashoswai: UN High Commissioner for Human Rights move on Citizenship Amendment Act has rattled the Modi regime!  https://t.co/cdyBfCNZIy,SYED ALI ABBAS GILLANI,61582,763,"LAHORE, PAKISTAN",False,0,906,2020-03-05 16:08:28
90,"RT @pbhushan1: After Bar Assn of India &amp; SCBA, the Bombay bar on Arun Mishra: ""This Assn deprecates the conduct of a sitting judge of the S…",SRINIVASAN RANGANATH,126808,392,"Chennai,Tamilnadu",False,0,282,2020-03-05 16:08:23
91,"RT @SkJain53577365: @ndtv ONE MORE BANK IS FORWARDING TOWARDS PMC WAY. 
ITS THE ACHIEVEMENTS OF THE MODI GOVT.",Vinay Gupta,1775,206,india,False,0,1,2020-03-05 16:08:19
92,"RT @AWjamalfc: A Hindu priest exposed the murderer Modi and taught him a good lesson.
Watch this video 
#IndianMuslimsInDanger
#Voice_of_Mu…",Sharazg,5435,1180,"Sialkot, Pakistan",False,0,17,2020-03-05 16:08:18
93,"@Shhhh83205871 @ashoswai @INCIndia 1. Name one Pogrom which was carried out without Guns ?

2. Had that been the case @POTUS would have said something in his press briefing. Either Modi is so strong that he can mend Trump as per his will or it wasn't a pogrom.

3. I dont want it to happen in first place.",hodor 2.0,1420,17,,False,0,0,2020-03-05 16:08:16
94,"RT @INCIndia: Modi ji you may think silence is golden, but when our country is facing such dire issues, your silence is criminal. https://t…",Ralph Rejects CAA&NRC,61828,827,Canada/Indian,False,0,1526,2020-03-05 16:08:16
95,"RT @balbirpunj: How Jehadies tasted blood :
Wanted Islamic state &amp; got one.

Didn’t like Shah Bano verdict, got it overturned.

Didn’t like…",Anil Kumar Tripathi,8392,84,,False,0,1823,2020-03-05 16:08:16
96,"RT @ashoswai: In India, 
U can’t criticize President because he is Modi’s stooge,
U can’t criticize PM because he is Modi,
U can’t criticiz…",Mohammad Ansar محمد انصار,4369,123,"Bengaluru, India",False,0,5925,2020-03-05 16:08:15
97,"RT @RealHistoryPic: ""Modinomics is now becoming Modi-Momentum"". (2015) https://t.co/ScZnTBVKwd",eco No mystry,10265,252,,False,0,32,2020-03-05 16:08:15
98,@ANI Modi ji you rock dude! What a achievement for Indians banks. Mitroonnnnn nachoo,designergoodies,153,4,United States,False,0,0,2020-03-05 16:08:15
99,RT @ashoswai: Yesterday the Chief Political Analyst of world’s one of the largest multinationals told me they were very excited about Modi…,GAJEN CHOUDHARY 🇮🇳,19511,302,New Delhi,False,0,186,2020-03-05 16:08:14
